"Position","link","img","title","subtitle","price","rating"
45,"https://wolt.com/nb/nor/oslo/restaurant/kebabbiten-pilestredet","https://imageproxy.wolt.com/venue/63bbfa3508c9a34726c8a78a/b607b884-9b1b-11ed-b69e-5e4419ae9e84_0samlebilde.jpg","Kebabbiten Pilestredet","Kvalitetsmat siden 1994","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.4
46,"https://wolt.com/nb/nor/oslo/restaurant/casbar","https://imageproxy.wolt.com/venue/60b9fd450e83de6d3785a023/52e17d54-a22c-11ed-a9a9-c2e9c322c90e_5a89119a_c919_11eb_8d14_1a6fee08ad48_casbar0157.jpg","CASBAR","Sannsynligvis byens beste pizza","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.4
47,"https://wolt.com/nb/nor/oslo/restaurant/fly-chicken-steen-strm","https://imageproxy.wolt.com/venue/627a5473855cab6433c96051/053ad0c8-d126-11ec-a7fd-9ec5b44ba87a_80a1ca62_1301_11eb_9104_ce0acd720139_theflyexperience00179.jpg","Fly Chicken Steen & Strøm","Real fried chicken - Juicy and crispy as cluck! 🍗","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.4
48,"https://wolt.com/nb/nor/oslo/restaurant/whatsoup-steen-strm","https://imageproxy.wolt.com/venue/5f4fa0e8dbc80238c9a3b605/487b9024-f0dc-11ea-b1b3-ca68662666a9_hero_shot_2.jpg","What'Soup Steen & Strøm","Slowfood servert som fastfood. Velsmakende sunn mat og drikke laget fra bunnen av, basert på ferske råvarer - hver dag 🥣🌶","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
49,"https://wolt.com/nb/nor/oslo/restaurant/smiz-st","https://imageproxy.wolt.com/venue/60468f964c96c4610a565e8d/6e05f6b2-5cd4-11ec-a354-36da41a1b1c4_hero_1.jpg","Palett Youngstorget","Tidligere Smiz ☀️","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.4
50,"https://wolt.com/nb/nor/oslo/restaurant/umi-bento-box","https://imageproxy.wolt.com/venue/608aa9b60ba94560c88e5e3a/3b26ee92-a9c2-11eb-bd9f-fa11838ee1e2_umi_bento_box0141.jpg","Umi Bento Box","Ditt faste sushisted 🍣","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.8
51,"https://wolt.com/nb/nor/oslo/restaurant/tandoori-curry-corner","https://imageproxy.wolt.com/venue/60a408b97180ea25b6260c44/44bd7e56-bd6a-11eb-a295-02e4d875e567_tandoori_curry_corner0848.jpg","Tandoori Curry Corner","Pakistansk mat rett hjem","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8
52,"https://wolt.com/nb/nor/oslo/restaurant/rice-bowl","https://imageproxy.wolt.com/venue/5fa53a0244e94ea0f4f2f871/00ca87cc-a22c-11ed-a839-7e5d98f085dd_f2bff052_282c_11eb_a033_d2a048c8105c_hero__1_.jpg","Rice Bowl","Thai Café Restaurant","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.8
53,"https://wolt.com/nb/nor/oslo/restaurant/nordvegan","https://imageproxy.wolt.com/venue/60ed507f951f5676d174a163/f21844a8-a217-11ed-b67e-5219b2715790_bcc5f7fa_eeb3_11eb_a800_06be01b7f213_nordvegan0483.jpg","Nordvegan","Fokus på sunn, næringsrik og rask plantebasert mat.","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
54,"https://wolt.com/nb/nor/oslo/restaurant/espresso-house-805-continental","https://imageproxy.wolt.com/venue/5fd0bb0fd958f6c4df58b25a/4b8223f8-9935-11eb-ade7-b6a2ddddac83_espressohouse2624.jpg","Espresso House Continental","Kvalitet i alle ledd – fra kaffebønnene, bakeriet og til våre ansatte.","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8
